,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group,
Kilmarnock and Loudoun,96810,95572,89922,4256,540,50,190,614,223,796,237,174,9,266,110,68,63,5,62,38,19,5,89,56,33,
Kirkcaldy and Cowdenbeath,96959,94736,85499,6036,513,114,1507,1067,273,1440,601,325,23,296,195,213,202,11,135,65,63,7,162,109,53,
Lanark and Hamilton East,97513,95760,89953,3829,739,93,298,848,196,1248,497,301,25,289,136,138,129,9,47,21,17,9,124,86,38,
Linlithgow and East Falkirk,112273,110593,100863,6146,681,76,1405,1422,254,1071,556,187,7,151,170,191,189,2,56,27,20,9,108,54,54,
Livingston,109880,106614,95733,6381,743,55,2292,1410,369,2318,1127,527,9,393,262,345,335,10,81,36,36,9,153,68,85,
Midlothian,83187,81715,74875,4795,474,72,455,1044,210,910,371,180,41,130,188,159,157,2,99,65,27,7,94,41,53,
Moray,93295,92263,72470,16823,430,79,985,1476,232,599,149,101,16,164,169,88,78,10,57,43,11,3,56,26,30,
Motherwell and Wishaw,91999,89692,84644,2232,1037,52,1142,585,176,1816,1126,275,10,265,140,200,195,5,43,16,24,3,72,32,40,
North Ayrshire and Arran,95515,94605,87203,5637,722,27,177,839,247,514,68,148,18,172,108,57,55,2,38,29,8,1,54,38,16,
North East Fife,80606,77776,60430,12388,741,103,507,3607,540,1830,137,322,15,938,418,165,161,4,122,72,26,24,173,94,79,
Ochil and South Perthshire,100504,99014,85279,10486,667,172,869,1541,292,918,353,189,13,232,131,152,150,2,56,40,15,1,72,33,39,
Orkney and Shetland,44516,44006,35660,7062,299,11,248,726,111,323,60,39,25,91,108,36,35,1,12,8,2,2,28,15,13,
Paisley and Renfrewshire North,88516,86008,81055,2978,829,21,491,634,219,1819,614,631,11,421,142,278,266,12,53,26,25,2,139,79,60,
Paisley and Renfrewshire South,86392,84119,78653,2827,814,49,807,969,218,1291,351,397,8,402,133,526,516,10,66,38,22,6,172,115,57,
Perth and North Perthshire,97590,95310,80024,9940,775,311,2112,2148,307,1470,290,476,66,319,319,167,164,3,116,70,35,11,220,164,56,
"Ross, Skye and Lochaber",67967,67251,52786,11913,437,97,560,1458,175,409,54,123,43,75,114,41,40,1,47,29,17,1,44,22,22,
Rutherglen and Hamilton West,102968,99929,94278,2748,1463,67,583,790,258,2278,1071,564,32,401,210,322,315,7,72,46,23,3,109,62,47,
Stirling,90247,87390,74025,9706,826,68,578,2187,323,2062,299,349,20,951,443,188,183,5,74,46,22,6,210,113,97,
West Aberdeenshire and Kincardine,91710,89890,73824,12922,518,46,681,1899,338,993,120,254,68,177,374,239,239,0,130,85,18,27,120,45,75,
West Dunbartonshire,90720,89306,84344,2813,1168,102,382,497,178,845,251,277,5,160,152,261,259,2,30,19,8,3,100,62,38,
