Parliamentary Constituency 2008 Code,Parliamentary Constituency 2008 Label,Qualifications (Highest Level) - 7 Categories Code,Qualifications (Highest Level) - 7 Categories Label,Count
N06000007,Fermanagh And South Tyrone,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",11442
N06000007,Fermanagh And South Tyrone,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",12496
N06000007,Fermanagh And South Tyrone,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",26132
N06000007,Fermanagh And South Tyrone,5,"Other: Apprenticeships; other qualifications, equivalent unknown",7558
N06000007,Fermanagh And South Tyrone,-8,No code required,23796
N06000008,Foyle,0,No qualifications,21819
N06000008,Foyle,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4684
N06000008,Foyle,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",10876
N06000008,Foyle,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",13021
N06000008,Foyle,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",25633
N06000008,Foyle,5,"Other: Apprenticeships; other qualifications, equivalent unknown",5568
N06000008,Foyle,-8,No code required,22051
N06000009,Lagan Valley,0,No qualifications,16871
N06000009,Lagan Valley,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",5465
N06000009,Lagan Valley,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",12289
N06000009,Lagan Valley,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",13937
N06000009,Lagan Valley,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",33530
N06000009,Lagan Valley,5,"Other: Apprenticeships; other qualifications, equivalent unknown",7598
N06000009,Lagan Valley,-8,No code required,23017
N06000010,Mid Ulster,0,No qualifications,21742
N06000010,Mid Ulster,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4339
